,Lane,Vehicle Type,Vehicle Class,GVW,Axle Number,Axle Spacing,Axle Weight,Speed,Gap Time,Hour,Minute,Second,Cumulative Gap Time
0,1.0,HDV,8.0,20142.207349447162,2.0,[525.2818878199146],"[17388.80548994159, 2753.4018595055695]",71.66476424067616,0.11011651036544617,0.0,0.0,0.11011651036544617,0.11011651036544617
1,1.0,HDV,6.0,15849.851493654018,3.0,"[495.88974684504603, 110.02140601459057]","[5884.811102087993, 5875.7961264395, 4089.244265126524]",60.234989215539,1.3496428645209892,0.0,0.0,1.4597593748864355,1.4597593748864355
2,1.0,HDV,8.0,19678.924594779965,3.0,"[452.2133991473141, 136.264413049951]","[4064.4476603501053, 6371.8734597910525, 9242.603474638809]",81.63441475927345,6.743777177303832,0.0,0.0,8.203536552190267,8.203536552190267
3,1.0,Private Car,2.0,0.0,0.0,0,0,113.96421800680183,0.2975877739231602,0.0,0.0,8.501124326113427,8.501124326113427
4,1.0,HDV,8.0,30769.61532328027,2.0,[377.2514072799249],"[9267.61785268989, 21501.997470590384]",77.58655256369316,3.6948435557841925,0.0,0.0,12.19596788189762,12.19596788189762
5,1.0,Motorbike,1.0,0.0,0.0,0,0,68.52272871180215,0.2166846543085895,0.0,0.0,12.41265253620621,12.41265253620621
6,1.0,Motorbike,1.0,0.0,0.0,0,0,57.174807039440296,1.2593891277960612,0.0,0.0,13.67204166400227,13.67204166400227
7,1.0,HDV,8.0,22327.64718926298,3.0,"[554.8068200893757, 128.1566831094761]","[6091.465998403291, 5933.556934918627, 10302.624255941064]",4.019051647746412,1.5636475345062908,0.0,0.0,15.235689198508561,15.235689198508561
8,1.0,Private Car,2.0,0.0,0.0,0,0,78.83715359323998,0.3155236484472071,0.0,0.0,15.551212846955769,15.551212846955769
9,1.0,HDV,8.0,11835.541435809471,3.0,"[515.5876532599204, 144.4924720653607]","[3560.9465310503033, 2996.9531585594286, 5277.641746199739]",54.1106066342998,0.31023328167848463,0.0,0.0,15.861446128634254,15.861446128634254
10,1.0,Motorbike,1.0,0.0,0.0,0,0,73.40502069435136,4.79588925937328,0.0,0.0,20.657335388007535,20.657335388007535
11,1.0,Motorbike,1.0,0.0,0.0,0,0,59.21173832638478,4.777423361712012,0.0,0.0,25.43475874971955,25.43475874971955
12,1.0,Private Car,2.0,0.0,0.0,0,0,78.84015088106395,0.0,0.0,0.0,25.43475874971955,25.43475874971955
13,1.0,HDV,4.0,4190.683338726182,2.0,[279.26684823219045],"[1457.5325056143752, 2733.150833111807]",57.15794705612797,2.6985754797060637,0.0,0.0,28.133334229425614,28.133334229425614
14,1.0,HDV,7.0,17668.09343884451,5.0,"[337.7110745788044, 601.1409470566539, 105.03782447412198, 365.957202796645]","[6249.176503193795, 3632.2427109878386, 2306.765956448228, 3514.6863497805853, 1965.221918434063]",59.21175167221782,3.688752192561375,0.0,0.0,31.822086421986988,31.822086421986988
15,1.0,HDV,3.0,4137.567059018293,2.0,[305.0938800658934],"[2645.3232384111598, 1492.2438206071326]",77.64437112881481,1.5286614099405627,0.0,0.0,33.35074783192755,33.35074783192755
16,1.0,Private Car,2.0,0.0,0.0,0,0,35.05275721644103,0.16707101326465676,0.0,0.0,33.5178188451922,33.5178188451922
17,1.0,HDV,5.0,8363.602979659814,2.0,[343.2593864070942],"[4320.939863359109, 4042.6631163007055]",65.4158914617457,0.1598924240200908,0.0,0.0,33.677711269212296,33.677711269212296
18,1.0,Private Car,2.0,0.0,0.0,0,0,68.54283603062733,5.743392799314179,0.0,0.0,39.421104068526475,39.421104068526475
